timestamp,sample_id,element_type,spectral_resolution,wavelength_accuracy,snr,spectral_intensity,temperature_coeff,domain_adapt_score,core_factor,stability
2026-01-01 00:00:00,A_H_0001,H,0.0021,0.00022,412.5,0.862,0.25,0.876,0.881,0.878
2026-01-01 00:01:00,A_He_0002,He,0.0032,0.00031,348.7,0.795,0.38,0.812,0.825,0.827
2026-01-01 00:02:00,A_Li_0003,Li,0.0048,0.00049,265.3,0.748,0.52,0.758,0.792,0.793
2026-01-01 00:03:00,A_Na_0004,Na,0.0079,0.00078,198.9,0.915,0.68,0.705,0.756,0.751
2026-01-01 00:04:00,A_H_0005,H,0.0019,0.00018,425.8,0.878,0.18,0.892,0.895,0.889
2026-01-01 00:05:00,A_He_0006,He,0.0029,0.00029,362.4,0.812,0.41,0.835,0.843,0.841
2026-01-01 00:06:00,A_Li_0007,Li,0.0052,0.00051,248.6,0.735,0.58,0.741,0.778,0.779
2026-01-01 00:07:00,A_Na_0008,Na,0.0082,0.00081,210.5,0.898,0.72,0.691,0.742,0.743
2026-01-01 00:08:00,A_H_0009,H,0.0023,0.00024,398.7,0.851,0.31,0.864,0.872,0.871
2026-01-01 00:09:00,A_He_0010,He,0.0034,0.00033,335.9,0.788,0.45,0.798,0.817,0.819